Andrei,pass,PATIENT,andrei@gmail.com,,,
Andrei,pass,PATIENT,andrei@gmail.com,,,
Bogdan,pass,PATIENT,bogdan@gmail.com,,,
John,pass,PATIENT,john@gmail.com,,,
David,pass,PATIENT,david@gmail.com,,,
Albert,pass,DOCTOR,albert@gmail.com,Anesthesiology,,
Medic,pass,DOCTOR,doctor@gmail.com,Anesthesiology,,
Fred,pass,DOCTOR,fred@gmail.com,Pediatrics,,
Sam,pass,DOCTOR,sam@gmail.com,General Surgery,,
James,pass,ASSISTANT,james@gmail.com,CRNA,Certified registered nurse anesthetist
George,admin,ADMIN,admin@gmail.com,,,
Lulu,pass,SECRETARY,lulu@gmai,,,
